"protein","p.val","log2fc"
"ENCSR795CAI",0,-1.24682919655994
"ENCSR456KXI",0,-2.69350749192276
"ENCSR308YNT",0,-3.80854613071233
"ENCSR438KWZ",0,-2.01614597356717
"ENCSR023PKW",0,-1.88604181935865
"ENCSR887LPK",0,-1.19655132782258
"ENCSR970NKP",0,-3.61627531449362
"ENCSR366YOG",0,-2.19492084094494
"ENCSR206RXT",0,-1.57103799683207
"ENCSR534YOI",0,-2.90376433908359
"ENCSR089BXO",0,-3.33481605353783
"ENCSR767OEY",0,-3.55717839364759
"ENCSR819XBT",0,-1.43254443119019
"ENCSR381VNR",0,-2.31114282928948
"ENCSR248TXP",0,-3.95488798912474
"ENCSR177QQY",0,-2.57696286343552
"ENCSR224QWC",0,-4.73792150840599
"ENCSR303OQD",0,-2.61934519968976
"ENCSR739VVT",0,-2.84664624739655
"ENCSR145NLR",0,-1.92288246862134
"ENCSR774RFN",0,-3.5214785228249
"ENCSR657TZZ",0,-3.46230420229914
"ENCSR291XPT",0,-2.0374672670997
"ENCSR580OFI",0,-1.60312095012266
"ENCSR964VOX",0,-2.28494371840616
"ENCSR238CLX",0,-2.31709113901027
"ENCSR349KMG",0,-2.44154128881389
"ENCSR448GXJ",0,-1.82517263919746
"ENCSR438GZQ",0,-0.594247426108321
"ENCSR258QKO",0,-1.59266247377466
"ENCSR391BBA",0,-2.47944124182981
"ENCSR867ZVK",0,-1.83226922006016
"ENCSR893RAV",0,-1.17311448192684
"ENCSR663NRA",0,-1.55559107697905
"ENCSR953ZOA",0,-2.14734352168355
"ENCSR725ARB",0,-1.55499105688465
"ENCSR529GSJ",0,-1.91326015144795
"ENCSR004VIR",0,-1.93115874408331
"ENCSR349CMI",0,-1.79307726715448
"ENCSR571VHI",0,-0.60056321250699
"ENCSR661ICQ",0,-2.80539027756199
"ENCSR663WES",0,-2.42915910622044
"ENCSR658IQB",0,-2.34781161649977
"ENCSR975KIR",0,-4.01648614851583
"ENCSR081JYH",0,-0.473432389903883
"ENCSR825SVO",0,-1.92397733010072
"ENCSR196INN",0,-1.96850653170075
"ENCSR181NRW",0,-1.64855087012698
"ENCSR062NNB",0,-3.93396619064413
"ENCSR529FKI",0,-5.11762181154473
"ENCSR269AJF",0,-2.52237086276071
"ENCSR867DSZ",0,-1.85335880071391
"ENCSR840DRD",0,-0.416672631648401
"ENCSR365NVO",0,-1.03916807464742
"ENCSR657TZB",0,-2.14539196321693
"ENCSR013CTQ",0,-1.08368660795157
"ENCSR120EAR",0,-2.79906557561511
"ENCSR922WJV",0,-2.99848362051459
"ENCSR295OKT",0,-1.83269453877932
"ENCSR202HKN",0,-1.15270563279362
"ENCSR888YTT",0,-1.42982693889663
"ENCSR589YHM",0,-1.27663245022429
"ENCSR506OTC",0,-1.8595430927759
"ENCSR937RSF",0,-1.9434590157647
"ENCSR712IAG",0,-2.06583821819436
"ENCSR844RVX",0,-2.57068127625286
"ENCSR756CKJ",0,-1.83837618519555
"ENCSR568DZW",0,-0.799704156738677
"ENCSR628IDK",0,-0.851802909658183
"ENCSR268ETU",0,-1.72460767563916
"ENCSR038JME",0,-1.83989228102946
"ENCSR301UQM",0,-2.17950002624399
"ENCSR720BJU",0,-1.56312574142708
"ENCSR256NCI",0,-2.29477333632041
"ENCSR412NOW",0,-1.34223228797439
"ENCSR943MHU",0,0.045690169804344
"ENCSR861PAR",0,-1.305677258921
"ENCSR128VXC",0,-2.76391767238783
"ENCSR989SMC",0,-1.69525752935053
"ENCSR947JVR",0,-1.05384675311354
"ENCSR606BPV",0,-3.05824994514087
"ENCSR891RIC",0,-1.63675800469511
"ENCSR981WKN",0,-2.09632573711581
"ENCSR736AAG",0,-1.70456554796873
"ENCSR862QCH",0,-1.31328326543478
"ENCSR893EFU",0,-2.66540794822827
"ENCSR647CLF",0,-1.75641089163546
"ENCSR040QLV",0,-2.12863445124438
"ENCSR923NKN",0,-3.13001671795183
"ENCSR331VNX",0,-3.07327151894181
"ENCSR484LTQ",0,-2.4079362172353
"ENCSR154CSN",0,-1.60937753623711
"ENCSR001VAC",0,-2.2782904590026
"ENCSR440SUX",0,-1.07851552663955
"ENCSR154HRN",0,-0.555736054760952
"ENCSR584TCR",0,-1.46039687146015
"ENCSR121GQH",0,-3.95145110880449
"ENCSR001KKZ",0,-2.11710649980229
"ENCSR000SSH",0,-1.58908489133999
"ENCSR999YGP",0,-3.30630298913938
"ENCSR539ZTS",0,-0.647568985086247
"ENCSR906ZJF",0,-2.57367780033598
"ENCSR090LNQ",0,-1.82847399222924
"ENCSR307YIW",0,-2.40119766039235
"ENCSR520BZQ",0,-0.455530599576744
"ENCSR887FHF",0,-1.90776202161196
"ENCSR059CWF",0,-2.41728680718402
"ENCSR532VUB",0,-1.92901728171811
"ENCSR057DWB",0,-1.23062892143778
"ENCSR554UVB",0,-3.4271189268759
"ENCSR456ASB",0,-3.60130259919333
"ENCSR046JHH",0,-1.95371080795791
"ENCSR197INS",0,-0.188250238815449
"ENCSR586DGV",0,-3.47068682958743
"ENCSR267OLV",0,-3.1068671101514
"ENCSR958FKZ",0,-4.11445684858758
"ENCSR930BZL",0,-3.29874367272088
"ENCSR468FSW",0,-2.31971934465644
"ENCSR631HUN",0,-2.23051026330891
"ENCSR356MSW",0,-1.66975686873106
"ENCSR497XZI",0,-2.06876001252832
"ENCSR653HQC",0,-1.04298710966854
"ENCSR133QEA",0,-1.39504987314891
"ENCSR200DKE",0,-2.33612092973305
"ENCSR484LAB",0,-0.493235003695259
"ENCSR432XUP",0,-1.9021837713211
"ENCSR022BVV",0,-2.16736183759588
"ENCSR999WKT",0,-3.49069660768301
"ENCSR100ARZ",0,-3.14703067219582
"ENCSR069EVH",0,-1.71304552039721
"ENCSR006OEQ",0,-3.37048440259227
"ENCSR734ZHL",0,-2.28943650285594
"ENCSR483NOP",0,-3.04998742366422
"ENCSR249ROI",0,-1.40283390474404
"ENCSR576SHT",0,-1.6999022622992
